,level_0,index,path,Xmin,Ymin,Xmax,Ymax,label,fig_num
0,487,742,E:/cqCTC/data/PWH-LCA/AC-035/,982,158,986,162,wbc,2024
1,499,1300,E:/cqCTC/data/PWH-LCA/AC-035/,394,870,398,874,dead,2042
2,383,1698,E:/cqCTC/data/PWH-LCA/AC-035/,969,1157,972,1160,debris,2052
3,486,741,E:/cqCTC/data/PWH-LCA/AC-035/,886,253,889,258,wbc,2015
4,373,1688,E:/cqCTC/data/PWH-LCA/AC-035/,478,276,481,280,debris,2006
5,50,50,E:/cqCTC/data/PWH-LCA/AC-035/,900,302,903,305,epCTC,2066
6,488,743,E:/cqCTC/data/PWH-LCA/AC-035/,375,586,378,589,wbc,2040
7,108,232,E:/cqCTC/data/PWH-LCA/AC-035/,563,1314,567,1318,mCTC,2034
8,323,578,E:/cqCTC/data/PWH-LCA/CKC-028/,239,317,242,320,wbc,1320
9,305,560,E:/cqCTC/data/PWH-LCA/CKC-028/,1062,960,1067,963,wbc,1271
10,303,558,E:/cqCTC/data/PWH-LCA/CKC-028/,672,716,677,719,wbc,1258
11,313,568,E:/cqCTC/data/PWH-LCA/CKC-028/,639,233,642,236,wbc,1291
12,311,566,E:/cqCTC/data/PWH-LCA/CKC-028/,516,661,519,664,wbc,1287
13,234,1549,E:/cqCTC/data/PWH-LCA/CKC-028/,908,934,911,937,debris,1294
14,301,556,E:/cqCTC/data/PWH-LCA/CKC-028/,623,1082,628,1086,wbc,1247
15,315,570,E:/cqCTC/data/PWH-LCA/CKC-028/,779,330,783,334,wbc,1306
16,306,561,E:/cqCTC/data/PWH-LCA/CKC-028/,373,777,376,780,wbc,1275
17,316,571,E:/cqCTC/data/PWH-LCA/CKC-028/,650,520,656,525,wbc,1307
18,304,559,E:/cqCTC/data/PWH-LCA/CKC-028/,811,101,816,104,wbc,1262
19,300,555,E:/cqCTC/data/PWH-LCA/CKC-028/,903,432,906,435,wbc,1243
20,309,564,E:/cqCTC/data/PWH-LCA/CKC-028/,488,429,491,432,wbc,1283
21,297,552,E:/cqCTC/data/PWH-LCA/CKC-028/,875,205,879,209,wbc,1237
22,292,1093,E:/cqCTC/data/PWH-LCA/CKC-028/,345,703,350,708,dead,1267
23,302,557,E:/cqCTC/data/PWH-LCA/CKC-028/,843,468,846,471,wbc,1253
24,298,553,E:/cqCTC/data/PWH-LCA/CKC-028/,118,704,124,707,wbc,1239
25,317,572,E:/cqCTC/data/PWH-LCA/CKC-028/,506,703,510,707,wbc,1309
26,321,576,E:/cqCTC/data/PWH-LCA/CKC-028/,550,1345,553,1349,wbc,1316
27,318,573,E:/cqCTC/data/PWH-LCA/CKC-028/,1127,436,1130,441,wbc,1312
28,310,565,E:/cqCTC/data/PWH-LCA/CKC-028/,625,324,628,327,wbc,1285
29,299,554,E:/cqCTC/data/PWH-LCA/CKC-028/,147,768,150,772,wbc,1242
30,308,563,E:/cqCTC/data/PWH-LCA/CKC-028/,788,203,792,207,wbc,1282
31,322,577,E:/cqCTC/data/PWH-LCA/CKC-028/,160,881,162,885,wbc,1317
32,320,575,E:/cqCTC/data/PWH-LCA/CKC-028/,438,679,441,682,wbc,1315
33,307,562,E:/cqCTC/data/PWH-LCA/CKC-028/,742,331,745,334,wbc,1277
34,312,567,E:/cqCTC/data/PWH-LCA/CKC-028/,142,537,145,540,wbc,1290
35,324,579,E:/cqCTC/data/PWH-LCA/CKC-028/,985,223,989,226,wbc,1321
36,81,205,E:/cqCTC/data/PWH-LCA/CKC-028/,382,1108,388,1115,mCTC,1238
37,314,569,E:/cqCTC/data/PWH-LCA/CKC-028/,542,382,545,385,wbc,1303
38,14,72,E:/cqCTC/data/PWH-LCA/CKC-028/,940,850,948,857,bipCTC,1305
39,516,771,E:/cqCTC/data/PWH-LCA/HJY-004/,722,215,725,218,wbc,2218
