,level_0,index,path,Xmin,Ymin,Xmax,Ymax,label,fig_num
0,33,1016,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC103/,916,153,920,156,debris,50
1,1,46,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC103/,806,867,811,872,mCTC,23
2,0,45,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC103/,1044,641,1052,646,mCTC,8
3,6,101,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC103/,983,809,987,812,wbc,29
4,5,100,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC103/,169,1031,172,1034,wbc,24
5,3,986,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC103/,102,752,105,755,debris,4
6,11,994,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC103/,593,99,596,102,debris,15
7,21,116,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC103/,796,1114,799,1117,wbc,105
8,823,918,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC105/,330,926,334,929,wbc,1964
9,49,94,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC105/,466,450,473,460,mCTC,2016
10,46,91,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC105/,320,1007,326,1014,mCTC,1972
11,834,929,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC105/,686,813,689,816,wbc,1981
12,833,928,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC105/,941,606,947,611,wbc,1980
13,777,1760,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC105/,505,777,508,780,debris,2019
14,756,1739,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC105/,197,708,200,711,debris,1962
15,77,172,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC107/,946,487,949,490,wbc,194
16,161,256,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC107/,1284,876,1288,879,wbc,306
17,98,1081,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC107/,598,1348,601,1351,debris,235
18,88,183,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC107/,794,805,799,813,wbc,207
19,0,0,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC107/,469,1231,476,1242,epCTC,196
20,124,219,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC107/,453,1016,456,1019,wbc,256
21,112,1095,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC107/,688,949,691,952,debris,312
22,151,246,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC107/,43,762,46,765,wbc,295
23,92,1075,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC107/,161,980,164,983,debris,183
24,94,189,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC107/,661,778,664,781,wbc,213
25,589,1572,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC110/,218,853,221,856,debris,1315
26,575,1558,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC110/,76,896,83,900,debris,1286
27,25,70,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC110/,271,1109,280,1118,mCTC,1253
28,38,83,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC110/,796,1328,802,1332,mCTC,1337
29,19,64,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC110/,915,491,920,496,mCTC,1237
30,29,74,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC110/,139,667,148,676,mCTC,1274
31,570,1553,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC110/,12,832,20,838,debris,1272
32,568,1551,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC110/,854,1219,857,1222,debris,1266
33,30,75,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC110/,1090,1114,1094,1119,mCTC,1278
34,37,82,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC110/,1080,326,1084,330,mCTC,1334
35,24,69,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC110/,703,1031,714,1036,mCTC,1251
36,403,498,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC110/,416,85,419,88,wbc,1269
37,31,76,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC110/,407,1298,414,1303,mCTC,1279
38,793,1776,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC112/,171,1163,174,1166,debris,2043
39,810,1793,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC112/,378,1056,384,1064,debris,2070
40,784,1767,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC112/,615,1241,618,1244,debris,2028
41,795,1778,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC112/,726,1264,734,1268,debris,2047
42,647,742,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC114/,709,1022,712,1025,wbc,1644
43,461,556,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC114/,289,707,292,710,wbc,1395
44,676,1659,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC114/,113,753,119,758,debris,1697
45,458,553,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC114/,408,911,415,917,wbc,1389
46,472,567,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC114/,209,884,212,888,wbc,1406
47,641,1624,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC114/,283,769,287,773,debris,1526
48,480,575,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC114/,1123,310,1126,313,wbc,1416
49,669,1652,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC114/,503,818,509,824,debris,1660
50,603,1586,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC114/,197,379,200,382,debris,1354
51,623,1606,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC114/,532,180,537,183,debris,1449
52,638,1621,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC114/,717,242,729,250,debris,1519
53,671,766,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC114/,277,578,286,585,wbc,1679
54,599,694,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC114/,290,436,294,440,wbc,1576
55,454,549,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC114/,1062,549,1068,554,wbc,1385
56,708,803,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC114/,749,96,753,100,wbc,1728
57,629,724,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC114/,486,658,489,662,wbc,1617
58,481,576,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC114/,630,554,633,557,wbc,1418
59,772,867,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC114/,512,525,519,532,wbc,1809
60,476,571,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC114/,426,401,429,404,wbc,1412
61,555,650,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC114/,173,605,177,610,wbc,1521
62,714,809,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC114/,327,976,330,979,wbc,1734
63,766,861,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC114/,136,400,140,404,wbc,1800
64,622,717,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC114/,871,1052,874,1055,wbc,1609
65,477,572,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC114/,95,874,98,877,wbc,1413
66,614,709,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC114/,648,141,653,147,wbc,1598
67,674,1657,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC114/,762,1313,765,1316,debris,1693
68,588,683,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC114/,694,38,697,41,wbc,1560
69,420,515,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC114/,595,140,601,148,wbc,1342
